Age,Gender,Discipline,CognitiveScore,LearningStrategyScore,GPA_Class,GPA
18,Male,Crop Production Technology,95.77,68.47,First Class,4.75
22,Female,Wildlife and Ecotourism Management,61.15,33.41,Third Class,1.98
18,Male,Horticultural Technology,72.49,51.37,Second Class Lower,3.37
20,Male,Computer Science Technology,70.12,55.14,Second Class Lower,3.17
20,Male,Computer Science Technology,53.96,48.17,Third Class,1.93
21,Male,Home and Rural Economic,94.51,69.65,First Class,4.95
23,Male,Crop Production Technology,89.26,72.4,First Class,4.89
18,Female,Crop Production Technology,77.6,50.51,Second Class Lower,3.43
18,Female,Fisheries Technology,80.72,60.09,Second Class Upper,3.71
23,Female,Crop Production Technology,68.91,38.16,Third Class,1.94
18,Male,Computer Science Technology,79.85,67.32,Second Class Upper,4.29
22,Female,Wildlife and Ecotourism Management,90.74,75.69,First Class,4.56
23,Female,Horticultural Technology,75.44,58.97,Second Class Upper,4.25
18,Female,Wildlife and Ecotourism Management,77.42,46.62,Second Class Lower,2.93
20,Female,Science Laboratory Technology,79.24,61.28,Second Class Upper,4.26
18,Female,Wildlife and Ecotourism Management,65.05,47.93,Second Class Lower,3.22
18,Female,Fisheries Technology,80.56,60.23,Second Class Upper,3.68
20,Female,Wildlife and Ecotourism Management,76.4,57.71,Second Class Lower,3.13
22,Female,Science Laboratory Technology,65.72,50.56,Second Class Lower,3.27
19,Female,Wildlife and Ecotourism Management,83.37,67.58,Second Class Upper,4.1
25,Male,Fisheries Technology,93.59,71.45,First Class,4.71
21,Female,Crop Production Technology,63.33,43.37,Third Class,2.61
19,Male,Computer Science Technology,85.36,70.96,First Class,4.76
20,Male,Computer Science Technology,87.3,58.96,Second Class Upper,3.98
25,Male,Fisheries Technology,80.65,58.79,Second Class Upper,3.56
18,Female,Home and Rural Economic,78.43,70.1,First Class,4.96
19,Female,Horticultural Technology,71.51,47.44,Second Class Lower,2.92
20,Female,Fisheries Technology,84.23,65.6,First Class,4.76
18,Male,Fisheries Technology,63.82,49.86,Third Class,2.44
25,Male,Wildlife and Ecotourism Management,66.91,33.28,Third Class,1.39
24,Male,Wildlife and Ecotourism Management,84.27,56.68,Second Class Upper,4.0
18,Female,Science Laboratory Technology,87.09,67.69,First Class,4.62
22,Male,Wildlife and Ecotourism Management,93.53,74.8,First Class,4.88
20,Male,Fisheries Technology,79.51,59.59,Second Class Upper,4.03
18,Female,Science Laboratory Technology,82.32,62.84,Second Class Upper,4.3
21,Male,Science Laboratory Technology,75.88,43.58,Second Class Lower,3.42
24,Male,Fisheries Technology,90.1,64.66,First Class,4.82
24,Male,Fisheries Technology,69.75,48.87,Second Class Lower,3.3
23,Male,Crop Production Technology,79.77,56.0,Second Class Upper,4.02
19,Female,Computer Science Technology,72.56,49.53,Second Class Upper,3.86
25,Female,Computer Science Technology,79.34,57.84,Second Class Upper,4.11
25,Male,Home and Rural Economic,66.62,56.61,Second Class Lower,3.43
23,Female,Science Laboratory Technology,85.7,77.08,First Class,4.71
18,Female,Home and Rural Economic,88.12,50.25,Second Class Upper,3.8
25,Female,Wildlife and Ecotourism Management,90.46,68.0,First Class,4.69
22,Male,Science Laboratory Technology,45.44,32.78,Third Class,1.78
18,Female,Science Laboratory Technology,83.87,70.1,Second Class Upper,3.57
18,Male,Wildlife and Ecotourism Management,84.51,61.62,Second Class Upper,3.97
20,Male,Crop Production Technology,79.89,68.41,Second Class Upper,3.96
21,Male,Home and Rural Economic,100.74,67.07,First Class,4.79
19,Female,Wildlife and Ecotourism Management,50.0,29.51,Third Class,1.65
18,Male,Crop Production Technology,66.61,39.76,Third Class,2.1
18,Female,Science Laboratory Technology,70.92,41.05,Second Class Lower,3.41
22,Male,Science Laboratory Technology,56.23,38.52,Third Class,2.71
21,Male,Computer Science Technology,91.04,68.01,First Class,4.79
23,Male,Science Laboratory Technology,54.81,36.08,Third Class,1.08
18,Female,Computer Science Technology,76.04,51.22,Second Class Lower,3.47
20,Female,Wildlife and Ecotourism Management,63.06,35.51,Third Class,2.26
22,Male,Wildlife and Ecotourism Management,65.23,57.38,Second Class Upper,3.82
21,Male,Crop Production Technology,65.67,51.75,Second Class Lower,2.9
24,Male,Computer Science Technology,76.43,43.48,Third Class,1.26
22,Female,Wildlife and Ecotourism Management,83.68,52.84,Second Class Lower,2.92
21,Female,Crop Production Technology,66.85,51.74,Second Class Lower,2.83
18,Female,Fisheries Technology,98.9,79.15,First Class,4.95
24,Female,Crop Production Technology,57.12,41.27,Third Class,1.97
21,Male,Wildlife and Ecotourism Management,72.85,64.12,Second Class Upper,4.16
25,Female,Horticultural Technology,97.77,70.2,First Class,4.91
20,Male,Horticultural Technology,86.66,71.8,First Class,4.9
21,Female,Fisheries Technology,92.09,70.41,First Class,4.94
18,Male,Crop Production Technology,90.89,69.13,First Class,4.98
18,Female,Home and Rural Economic,74.98,53.68,Second Class Lower,3.1
22,Male,Computer Science Technology,75.08,54.95,Second Class Upper,4.39
20,Female,Computer Science Technology,58.73,43.68,Third Class,2.29
18,Female,Horticultural Technology,70.74,46.78,Second Class Lower,2.85
18,Male,Fisheries Technology,91.31,68.35,First Class,4.84
20,Male,Fisheries Technology,84.4,61.67,Second Class Upper,4.15
19,Male,Science Laboratory Technology,78.42,61.16,Second Class Upper,4.35
18,Female,Wildlife and Ecotourism Management,86.58,57.15,Second Class Upper,3.85
25,Female,Home and Rural Economic,72.01,49.65,Second Class Lower,3.2
19,Male,Wildlife and Ecotourism Management,92.13,66.73,First Class,4.51
18,Female,Crop Production Technology,70.55,55.54,Second Class Lower,3.03
18,Female,Fisheries Technology,55.31,33.35,Third Class,1.11
23,Female,Science Laboratory Technology,83.54,64.15,First Class,4.76
18,Male,Computer Science Technology,72.98,42.97,Second Class Lower,3.36
18,Female,Science Laboratory Technology,88.51,73.09,First Class,4.6
18,Female,Horticultural Technology,82.08,58.07,Second Class Upper,4.0
18,Female,Computer Science Technology,70.95,50.54,Second Class Lower,2.94
19,Female,Wildlife and Ecotourism Management,88.88,68.95,First Class,4.56
21,Male,Science Laboratory Technology,91.18,64.05,Second Class Upper,3.98
25,Male,Wildlife and Ecotourism Management,82.4,47.52,Second Class Lower,2.85
19,Female,Computer Science Technology,59.58,33.34,Third Class,2.05
24,Male,Fisheries Technology,85.95,79.51,First Class,4.52
18,Female,Fisheries Technology,57.39,49.6,Third Class,1.19
20,Female,Science Laboratory Technology,83.78,64.73,First Class,4.77
20,Male,Computer Science Technology,68.29,49.68,Second Class Lower,3.21
25,Female,Crop Production Technology,84.62,62.25,Second Class Upper,3.53
18,Female,Science Laboratory Technology,87.92,69.33,First Class,4.79
20,Female,Computer Science Technology,58.4,35.43,Third Class,2.5
20,Male,Science Laboratory Technology,75.56,65.14,Second Class Upper,4.18
19,Male,Home and Rural Economic,80.86,78.09,First Class,4.57
18,Male,Crop Production Technology,88.29,66.14,First Class,4.8
23,Female,Science Laboratory Technology,83.7,67.43,Second Class Upper,4.13
18,Male,Horticultural Technology,85.59,62.51,Second Class Upper,3.53
24,Female,Wildlife and Ecotourism Management,95.43,61.42,First Class,4.93
18,Male,Computer Science Technology,87.39,65.44,First Class,4.95
19,Female,Fisheries Technology,96.12,68.08,First Class,4.93
18,Female,Science Laboratory Technology,74.23,52.68,Second Class Lower,3.37
18,Female,Computer Science Technology,85.69,67.07,First Class,4.87
18,Male,Science Laboratory Technology,76.47,46.12,Second Class Lower,3.24
19,Male,Home and Rural Economic,60.62,36.09,Third Class,2.21
18,Female,Computer Science Technology,68.43,49.77,Second Class Lower,3.36
20,Female,Science Laboratory Technology,56.09,35.2,Third Class,2.19
18,Male,Computer Science Technology,61.43,35.78,Third Class,1.59
25,Female,Wildlife and Ecotourism Management,65.95,45.3,Second Class Lower,3.06
18,Female,Horticultural Technology,59.61,44.72,Third Class,2.61
19,Male,Wildlife and Ecotourism Management,87.53,56.37,Second Class Upper,3.52
18,Female,Fisheries Technology,70.75,34.98,Third Class,2.25
25,Male,Home and Rural Economic,65.42,36.39,Third Class,2.71
22,Male,Computer Science Technology,55.65,36.28,Third Class,2.26
20,Female,Fisheries Technology,59.74,42.9,Third Class,2.78
18,Female,Home and Rural Economic,73.35,45.28,Second Class Lower,3.27
22,Female,Horticultural Technology,75.05,55.42,Second Class Upper,3.53
23,Female,Science Laboratory Technology,89.44,68.95,First Class,4.91
18,Male,Horticultural Technology,85.25,71.35,First Class,4.64
18,Female,Science Laboratory Technology,101.31,67.48,First Class,4.72
22,Female,Crop Production Technology,57.83,42.8,Third Class,1.56
24,Female,Fisheries Technology,67.21,53.34,Second Class Lower,2.99
19,Male,Horticultural Technology,56.41,49.16,Third Class,1.77
22,Female,Computer Science Technology,91.72,66.9,First Class,4.69
23,Female,Computer Science Technology,57.06,37.43,Third Class,2.13
23,Male,Crop Production Technology,86.86,53.66,Second Class Upper,4.26
19,Female,Home and Rural Economic,56.66,37.19,Third Class,1.53
18,Female,Horticultural Technology,59.92,38.64,Third Class,1.38
20,Female,Home and Rural Economic,82.54,68.0,First Class,4.83
18,Male,Crop Production Technology,89.5,66.86,First Class,4.84
20,Female,Wildlife and Ecotourism Management,93.43,74.6,First Class,4.95
23,Female,Home and Rural Economic,79.61,61.15,Second Class Upper,3.51
20,Male,Fisheries Technology,79.19,67.89,First Class,4.93
18,Female,Fisheries Technology,85.02,57.88,Second Class Upper,3.99
23,Male,Fisheries Technology,86.31,81.39,First Class,4.81
25,Male,Computer Science Technology,79.1,52.34,Second Class Lower,2.86
18,Male,Computer Science Technology,85.69,48.87,Second Class Upper,3.91
19,Female,Computer Science Technology,76.06,57.65,Second Class Upper,3.71
23,Female,Wildlife and Ecotourism Management,68.82,47.55,Second Class Lower,2.98
18,Male,Horticultural Technology,77.25,71.93,First Class,4.75
19,Male,Home and Rural Economic,92.72,78.01,First Class,4.91
18,Male,Computer Science Technology,66.06,45.65,Second Class Lower,3.31
18,Male,Science Laboratory Technology,56.6,48.53,Second Class Lower,3.21
24,Female,Science Laboratory Technology,74.51,46.94,Second Class Lower,3.17
18,Male,Fisheries Technology,100.72,68.72,First Class,4.71
19,Female,Crop Production Technology,80.73,53.18,Second Class Upper,4.41
18,Male,Wildlife and Ecotourism Management,61.44,30.1,Third Class,2.0
18,Male,Home and Rural Economic,83.47,63.62,Second Class Upper,3.74
25,Female,Horticultural Technology,66.8,34.9,Third Class,1.41
20,Female,Science Laboratory Technology,90.8,72.82,First Class,4.81
19,Male,Fisheries Technology,72.21,45.67,Second Class Lower,3.16
22,Male,Science Laboratory Technology,58.04,51.73,Second Class Lower,2.81
18,Male,Horticultural Technology,89.24,67.17,First Class,4.92
25,Male,Wildlife and Ecotourism Management,63.82,39.78,Third Class,2.26
20,Female,Fisheries Technology,53.4,30.34,Third Class,2.18
20,Female,Wildlife and Ecotourism Management,64.36,61.97,Second Class Lower,2.85
21,Male,Computer Science Technology,63.61,40.94,Third Class,1.65
25,Female,Horticultural Technology,69.09,48.76,Second Class Lower,3.45
24,Female,Wildlife and Ecotourism Management,95.84,67.55,First Class,4.93
18,Male,Wildlife and Ecotourism Management,92.88,68.26,First Class,4.64
18,Male,Fisheries Technology,99.7,73.71,First Class,4.58
20,Female,Wildlife and Ecotourism Management,96.23,67.08,First Class,4.72
20,Male,Horticultural Technology,75.29,48.44,Second Class Lower,3.05
18,Male,Wildlife and Ecotourism Management,70.55,58.18,Second Class Lower,3.27
21,Female,Horticultural Technology,54.79,41.02,Third Class,2.73
20,Female,Science Laboratory Technology,92.19,72.6,First Class,4.68
18,Male,Fisheries Technology,77.75,70.43,Second Class Upper,3.56
21,Female,Home and Rural Economic,53.53,47.29,Third Class,2.61
25,Female,Home and Rural Economic,76.08,59.5,Second Class Lower,2.83
22,Female,Fisheries Technology,72.06,55.66,Second Class Upper,4.4
24,Female,Home and Rural Economic,87.46,50.61,Second Class Upper,4.12
20,Female,Crop Production Technology,81.97,67.56,First Class,4.97
18,Female,Crop Production Technology,70.96,57.96,Second Class Lower,2.94
20,Female,Science Laboratory Technology,89.07,66.96,First Class,4.52
19,Female,Fisheries Technology,71.56,52.35,Second Class Lower,3.14
19,Female,Computer Science Technology,82.21,59.11,Second Class Upper,3.92
19,Male,Science Laboratory Technology,80.22,65.41,First Class,4.67
20,Male,Computer Science Technology,97.1,70.94,First Class,4.98
25,Male,Crop Production Technology,58.39,45.59,Third Class,2.47
18,Female,Fisheries Technology,54.35,38.87,Third Class,2.18
18,Male,Wildlife and Ecotourism Management,70.69,47.79,Second Class Lower,2.91
22,Male,Fisheries Technology,70.5,49.06,Second Class Lower,3.31
18,Male,Wildlife and Ecotourism Management,73.0,60.91,Second Class Upper,4.18
19,Female,Computer Science Technology,83.36,70.83,First Class,4.71
25,Male,Horticultural Technology,66.87,38.59,Third Class,2.66
24,Male,Science Laboratory Technology,64.14,49.37,Second Class Lower,2.92
24,Male,Computer Science Technology,55.84,42.97,Third Class,1.48
20,Female,Science Laboratory Technology,89.26,78.55,First Class,4.53
18,Female,Computer Science Technology,95.81,69.23,First Class,4.9
22,Female,Crop Production Technology,73.58,48.03,Second Class Lower,3.23
21,Male,Horticultural Technology,60.17,38.19,Third Class,1.56
22,Male,Horticultural Technology,93.83,77.16,First Class,4.58
18,Female,Home and Rural Economic,83.99,64.61,Second Class Upper,3.54
25,Female,Fisheries Technology,74.62,52.76,Second Class Lower,2.92
25,Female,Horticultural Technology,84.3,78.5,First Class,4.73
21,Female,Wildlife and Ecotourism Management,99.02,68.83,First Class,4.62
21,Female,Fisheries Technology,78.15,63.06,Second Class Upper,3.74
18,Female,Home and Rural Economic,82.75,58.99,Second Class Upper,4.32
18,Female,Fisheries Technology,63.75,51.53,Second Class Lower,3.16
18,Male,Home and Rural Economic,82.76,63.63,Second Class Upper,4.19
18,Male,Home and Rural Economic,71.75,48.64,Second Class Lower,2.82
18,Male,Wildlife and Ecotourism Management,74.97,50.33,Second Class Lower,3.05
19,Female,Fisheries Technology,57.68,39.1,Third Class,1.86
25,Female,Science Laboratory Technology,61.27,49.09,Second Class Lower,2.93
19,Male,Science Laboratory Technology,63.44,41.7,Third Class,1.22
25,Female,Science Laboratory Technology,87.6,58.69,Second Class Upper,4.32
19,Female,Computer Science Technology,82.44,63.96,Second Class Upper,4.38
19,Male,Crop Production Technology,91.71,60.72,Second Class Upper,3.57
25,Male,Wildlife and Ecotourism Management,64.78,54.24,Second Class Lower,3.04
22,Male,Crop Production Technology,79.33,48.39,Second Class Lower,3.46
22,Male,Fisheries Technology,94.21,76.14,First Class,4.54
25,Female,Crop Production Technology,75.09,50.63,Second Class Lower,3.24
18,Male,Horticultural Technology,86.51,69.59,First Class,4.99
24,Female,Crop Production Technology,72.29,54.54,Second Class Lower,3.47
24,Female,Science Laboratory Technology,81.67,58.1,Second Class Upper,3.94
23,Female,Computer Science Technology,62.78,44.3,Third Class,1.29
19,Female,Fisheries Technology,81.9,55.82,Second Class Upper,3.69
18,Female,Wildlife and Ecotourism Management,89.09,74.74,First Class,4.94
23,Female,Fisheries Technology,83.08,59.53,First Class,4.96
25,Female,Home and Rural Economic,97.54,72.56,First Class,4.8
21,Female,Wildlife and Ecotourism Management,73.03,44.62,Second Class Lower,3.33
23,Male,Wildlife and Ecotourism Management,83.69,61.38,Second Class Upper,4.2
18,Male,Computer Science Technology,62.08,57.12,Second Class Lower,3.26
18,Female,Science Laboratory Technology,80.79,58.02,Second Class Upper,4.28
20,Male,Home and Rural Economic,58.11,29.92,Third Class,2.23
25,Male,Home and Rural Economic,92.97,71.31,First Class,4.77
18,Female,Computer Science Technology,89.03,76.39,First Class,4.62
22,Female,Crop Production Technology,63.08,47.02,Second Class Lower,3.31
21,Female,Wildlife and Ecotourism Management,65.75,48.61,Second Class Lower,3.13
22,Female,Crop Production Technology,60.34,42.15,Third Class,1.53
18,Male,Science Laboratory Technology,78.27,55.61,Second Class Upper,4.25
22,Male,Science Laboratory Technology,78.43,62.06,Second Class Lower,3.28
20,Female,Horticultural Technology,90.72,66.22,First Class,4.97
19,Female,Fisheries Technology,87.38,52.77,Second Class Upper,3.66
24,Female,Computer Science Technology,78.33,56.52,Second Class Upper,4.11
20,Female,Science Laboratory Technology,74.2,58.6,Second Class Upper,3.73
23,Male,Wildlife and Ecotourism Management,55.68,40.06,Third Class,2.62
18,Female,Computer Science Technology,90.14,66.89,First Class,4.55
25,Male,Crop Production Technology,78.15,58.85,Second Class Upper,4.12
20,Female,Wildlife and Ecotourism Management,94.05,69.26,First Class,4.9
22,Male,Home and Rural Economic,84.12,62.93,Second Class Upper,3.83
18,Male,Computer Science Technology,82.86,66.94,Second Class Upper,4.4
18,Male,Computer Science Technology,54.4,37.63,Third Class,2.52
23,Female,Horticultural Technology,88.82,58.71,Second Class Upper,3.78
25,Female,Wildlife and Ecotourism Management,75.92,68.99,First Class,4.5
18,Female,Crop Production Technology,90.67,56.91,First Class,4.65
18,Female,Computer Science Technology,96.67,66.43,First Class,4.64
24,Male,Science Laboratory Technology,61.64,38.87,Third Class,2.59
19,Male,Crop Production Technology,83.56,64.65,First Class,4.98
18,Female,Science Laboratory Technology,85.32,75.43,First Class,4.54
20,Female,Horticultural Technology,59.26,37.39,Third Class,1.84
18,Female,Science Laboratory Technology,85.33,75.98,First Class,4.77
25,Male,Horticultural Technology,77.32,55.92,Second Class Lower,2.86
21,Female,Crop Production Technology,82.46,61.45,Second Class Upper,3.85
22,Male,Home and Rural Economic,63.92,48.77,Second Class Lower,3.02
23,Male,Horticultural Technology,86.58,60.87,First Class,4.77
18,Female,Horticultural Technology,65.29,36.52,Third Class,2.18
18,Female,Computer Science Technology,75.98,54.41,Second Class Lower,3.29
22,Female,Wildlife and Ecotourism Management,72.78,53.06,Second Class Lower,2.89
18,Female,Computer Science Technology,66.92,59.29,Second Class Lower,3.36
19,Female,Home and Rural Economic,80.22,61.51,Second Class Upper,4.14
18,Male,Fisheries Technology,56.75,35.34,Third Class,2.59
22,Female,Wildlife and Ecotourism Management,82.39,61.09,Second Class Upper,3.92
21,Male,Horticultural Technology,86.05,62.81,First Class,4.95
21,Female,Wildlife and Ecotourism Management,83.65,75.98,First Class,4.93
18,Male,Fisheries Technology,86.93,68.31,First Class,4.72
19,Male,Wildlife and Ecotourism Management,77.25,44.39,Second Class Lower,3.06
25,Male,Home and Rural Economic,66.37,46.16,Second Class Lower,3.44
25,Female,Wildlife and Ecotourism Management,88.09,69.97,Second Class Upper,4.17
19,Male,Home and Rural Economic,63.76,43.92,Third Class,2.66
18,Female,Computer Science Technology,87.1,79.74,First Class,4.9
19,Female,Home and Rural Economic,61.34,44.27,Third Class,2.09
18,Male,Fisheries Technology,89.47,68.66,First Class,4.56
23,Male,Horticultural Technology,68.32,42.7,Third Class,1.52
22,Female,Fisheries Technology,97.26,71.28,First Class,4.98
18,Male,Computer Science Technology,55.76,37.08,Third Class,1.57
18,Female,Computer Science Technology,60.51,36.87,Third Class,1.17
21,Male,Fisheries Technology,74.46,66.01,Second Class Upper,4.17
18,Female,Fisheries Technology,67.28,50.69,Second Class Lower,3.31
19,Male,Horticultural Technology,81.48,57.06,Second Class Upper,3.77
24,Female,Home and Rural Economic,87.25,54.41,Second Class Upper,3.78
21,Male,Crop Production Technology,61.31,41.23,Third Class,1.84
22,Male,Home and Rural Economic,89.73,63.52,First Class,4.51
20,Female,Wildlife and Ecotourism Management,74.35,53.72,Second Class Lower,3.34
21,Male,Science Laboratory Technology,76.62,63.54,Second Class Upper,3.8
18,Male,Horticultural Technology,81.87,53.6,Second Class Upper,4.3
18,Male,Crop Production Technology,75.73,65.69,Second Class Upper,4.25
18,Female,Computer Science Technology,71.55,47.18,Second Class Lower,3.26
18,Male,Crop Production Technology,55.71,37.42,Third Class,1.58
22,Female,Science Laboratory Technology,77.78,55.77,Second Class Upper,3.99
18,Male,Horticultural Technology,61.29,55.7,Second Class Lower,3.11
18,Male,Wildlife and Ecotourism Management,74.85,43.63,Second Class Lower,3.03
18,Male,Horticultural Technology,80.68,55.49,Second Class Upper,4.3
21,Male,Science Laboratory Technology,78.69,58.28,Second Class Upper,3.95
25,Male,Wildlife and Ecotourism Management,57.86,50.01,Third Class,2.49
18,Female,Fisheries Technology,67.8,45.96,Second Class Lower,2.87
18,Male,Fisheries Technology,66.19,55.22,Second Class Lower,2.9
18,Female,Horticultural Technology,51.74,36.19,Third Class,2.75
24,Female,Home and Rural Economic,67.23,41.22,Third Class,2.05
20,Male,Computer Science Technology,60.96,50.66,Third Class,1.91
22,Female,Computer Science Technology,91.23,66.46,First Class,4.76
24,Male,Crop Production Technology,78.59,54.32,Second Class Upper,3.7
20,Male,Fisheries Technology,66.28,42.87,Third Class,2.29
18,Female,Home and Rural Economic,65.62,46.06,Third Class,1.15
25,Female,Science Laboratory Technology,77.93,55.28,Second Class Upper,4.04
25,Male,Horticultural Technology,69.74,45.64,Second Class Lower,3.19
25,Male,Computer Science Technology,90.82,75.66,First Class,4.96
21,Female,Crop Production Technology,89.16,70.75,First Class,4.76
18,Male,Computer Science Technology,79.53,64.01,Second Class Upper,3.63
23,Female,Fisheries Technology,56.66,29.02,Third Class,2.03
23,Male,Crop Production Technology,92.35,74.94,First Class,4.55
22,Male,Wildlife and Ecotourism Management,92.23,66.8,First Class,4.6
19,Male,Wildlife and Ecotourism Management,74.32,62.47,Second Class Upper,3.53
25,Male,Wildlife and Ecotourism Management,80.71,59.37,Second Class Upper,3.98
21,Male,Science Laboratory Technology,79.11,45.27,Second Class Lower,2.86
21,Female,Computer Science Technology,78.88,50.16,Second Class Lower,3.12
25,Female,Home and Rural Economic,70.82,59.1,Second Class Upper,4.38
22,Male,Horticultural Technology,94.8,68.17,First Class,4.86
23,Male,Wildlife and Ecotourism Management,72.63,59.18,Second Class Upper,3.57
20,Female,Science Laboratory Technology,85.71,72.46,First Class,4.61
18,Female,Crop Production Technology,63.87,34.72,Third Class,2.21
18,Male,Computer Science Technology,56.47,43.78,Third Class,2.6
21,Male,Crop Production Technology,75.71,54.59,Second Class Upper,3.53
18,Male,Science Laboratory Technology,54.11,41.76,Third Class,2.45
25,Female,Computer Science Technology,81.55,56.58,Second Class Upper,4.03
19,Male,Fisheries Technology,70.03,57.64,Second Class Lower,3.18
18,Male,Fisheries Technology,85.13,60.24,First Class,4.98
18,Female,Home and Rural Economic,92.28,69.45,First Class,4.87
21,Male,Horticultural Technology,66.45,53.26,Second Class Lower,3.39
18,Female,Science Laboratory Technology,64.2,28.96,Third Class,1.63
21,Male,Fisheries Technology,76.74,71.59,Second Class Upper,4.02
22,Female,Horticultural Technology,92.92,73.38,First Class,4.81
18,Male,Fisheries Technology,85.86,60.09,Second Class Upper,3.8
24,Female,Horticultural Technology,63.98,43.59,Third Class,2.02
18,Male,Computer Science Technology,62.7,38.39,Third Class,1.42
21,Female,Computer Science Technology,70.86,47.06,Second Class Lower,2.9
25,Female,Wildlife and Ecotourism Management,60.06,34.16,Third Class,1.67
18,Female,Science Laboratory Technology,86.05,68.59,First Class,4.87
19,Female,Wildlife and Ecotourism Management,85.28,67.47,First Class,4.96
18,Male,Fisheries Technology,69.18,52.01,Second Class Lower,3.12
24,Male,Home and Rural Economic,74.75,47.68,Second Class Lower,3.24
19,Female,Wildlife and Ecotourism Management,66.68,44.69,Third Class,1.18
21,Female,Horticultural Technology,92.52,70.77,First Class,4.95
25,Female,Home and Rural Economic,81.6,65.94,Second Class Upper,4.03
24,Male,Horticultural Technology,86.12,66.67,Second Class Upper,4.23
18,Female,Science Laboratory Technology,70.21,52.77,Second Class Lower,3.35
18,Male,Home and Rural Economic,86.72,56.88,Second Class Upper,3.74
25,Male,Fisheries Technology,68.41,50.08,Second Class Lower,3.17
20,Male,Home and Rural Economic,74.5,54.58,Second Class Lower,3.46
24,Male,Wildlife and Ecotourism Management,78.85,52.46,Second Class Upper,3.58
25,Male,Wildlife and Ecotourism Management,81.23,55.41,Second Class Upper,4.14
23,Male,Computer Science Technology,62.55,43.68,Second Class Lower,3.46
18,Male,Home and Rural Economic,61.63,46.81,Third Class,1.54
20,Male,Wildlife and Ecotourism Management,70.19,51.06,Second Class Lower,3.39
25,Male,Home and Rural Economic,75.91,42.28,Second Class Lower,3.44
25,Female,Science Laboratory Technology,82.6,59.94,Second Class Upper,4.2
18,Female,Fisheries Technology,92.83,67.58,First Class,4.62
22,Female,Horticultural Technology,55.91,40.7,Third Class,1.6
18,Female,Computer Science Technology,68.25,44.3,Third Class,1.06
20,Male,Crop Production Technology,57.46,33.3,Third Class,2.49
20,Male,Computer Science Technology,71.59,66.58,Second Class Upper,4.3
18,Male,Wildlife and Ecotourism Management,65.22,48.37,Second Class Lower,3.24
25,Male,Wildlife and Ecotourism Management,86.61,51.93,Second Class Upper,3.83
19,Female,Computer Science Technology,67.46,38.73,Third Class,1.14
21,Female,Horticultural Technology,74.26,58.76,Second Class Upper,4.21
24,Male,Science Laboratory Technology,86.39,72.2,First Class,4.86
23,Female,Crop Production Technology,86.76,60.44,First Class,4.96
18,Male,Science Laboratory Technology,88.9,63.22,First Class,4.87
18,Female,Computer Science Technology,91.02,64.06,First Class,4.91
18,Male,Horticultural Technology,87.56,70.91,First Class,4.87
19,Female,Home and Rural Economic,58.94,41.25,Third Class,2.13
18,Female,Horticultural Technology,63.4,34.21,Third Class,1.76
19,Male,Computer Science Technology,59.68,23.35,Third Class,2.61
18,Female,Horticultural Technology,81.24,58.5,Second Class Upper,4.11
23,Male,Crop Production Technology,85.08,71.58,First Class,4.7
18,Male,Computer Science Technology,65.86,37.62,Third Class,1.15
23,Female,Horticultural Technology,75.28,60.83,Second Class Upper,3.77
21,Female,Crop Production Technology,73.32,56.7,Second Class Upper,4.01
20,Male,Fisheries Technology,96.11,70.31,First Class,4.64
21,Male,Computer Science Technology,70.6,51.02,Second Class Upper,3.71
18,Female,Horticultural Technology,90.81,74.31,First Class,4.76
18,Male,Horticultural Technology,61.91,52.25,Second Class Lower,2.92
20,Male,Wildlife and Ecotourism Management,76.65,59.44,Second Class Lower,3.35
22,Female,Crop Production Technology,81.66,62.53,Second Class Upper,3.96
25,Male,Crop Production Technology,59.33,60.5,Second Class Lower,3.2
18,Male,Home and Rural Economic,57.12,35.33,Third Class,1.26
18,Male,Science Laboratory Technology,78.72,67.56,Second Class Upper,3.81
